Number One,Number Two,GCD,Time (ms)
1,0,1,7.9E-4
2,0,2,0.001185
11,0,11,0.001185
1,0,1,0.001185
2,0,2,0.001185
1,0,1,0.001185
3,0,3,0.001185
1,0,1,0.001185
1,0,1,0.001185
1,0,1,0.001185
1,0,1,0.001185
1,0,1,0.001185
1,0,1,0.001185
2,0,2,0.001185
1,0,1,0.001185
2,0,2,0.001186
15,0,15,0.001186
1,0,1,0.001186
5,0,5,0.001186
1,0,1,0.00158
3,0,3,0.00158
1,0,1,0.00158
33,0,33,0.00158
1,0,1,0.00158
3,0,3,0.00158
3,0,3,0.00158
3,0,3,0.00158
1,0,1,0.00158
1,0,1,0.00158
1,0,1,0.00158
1,0,1,0.00158
1,0,1,0.00158
11,0,11,0.00158
1,0,1,0.00158
1,0,1,0.00158
1,0,1,0.00158
8,0,8,0.00158
2,0,2,0.00158
2,0,2,0.00158
3,0,3,0.00158
3,0,3,0.00158
6,0,6,0.00158
3,0,3,0.00158
2,0,2,0.00158
1,0,1,0.00158
5,0,5,0.00158
1,0,1,0.00158
1,0,1,0.00158
1,0,1,0.00158
6,0,6,0.00158
4,0,4,0.00158
1,0,1,0.00158
1,0,1,0.00158
2,0,2,0.00158
2,0,2,0.00158
1,0,1,0.00158
17,0,17,0.00158
1,0,1,0.00158
1,0,1,0.001581
1,0,1,0.001581
1,0,1,0.001581
2,0,2,0.001581
11,0,11,0.001581
1,0,1,0.001581
1,0,1,0.001581
2,0,2,0.001581
1,0,1,0.001581
1,0,1,0.001581
1,0,1,0.001581
1,0,1,0.001581
1,0,1,0.001975
1,0,1,0.001975
4,0,4,0.001975
1,0,1,0.001975
1,0,1,0.001975
1,0,1,0.001975
1,0,1,0.001975
1,0,1,0.001975
1,0,1,0.001975
2,0,2,0.001975
1,0,1,0.001975
1,0,1,0.001975
1,0,1,0.001975
1,0,1,0.001975
1,0,1,0.001975
1,0,1,0.001976
1,0,1,0.001976
4,0,4,0.001976
5,0,5,0.001976
1,0,1,0.001976
1,0,1,0.001976
13,0,13,0.001976
4,0,4,0.001976
1,0,1,0.002371
1,0,1,0.002371
1,0,1,0.002371
2,0,2,0.002766
1,0,1,0.004741
1,0,1,0.005531
2,0,2,0.006321
